delivery_year,Submarket,leaseup_time,effective_rent_delivery,effective_rent_leaseup,effective_rent_growth,negative_growth,umap_cluster,property_age,large_project_flag
2020,East Austin,0.0,1347.0,1250.0,-97.0,True,2,-1,1
2019,Southwest Austin,0.0,1576.0,1385.0,-191.0,True,0,0,1
2014,Downtown/University,76.0,2802.0,2605.0,-197.0,True,3,0,1
2017,East Austin,6.0,2091.0,1967.0,-124.0,True,2,-1,1
2019,Cedar Park,8.0,1488.0,1367.0,-121.0,True,2,-1,1
2015,Downtown/University,2.0,3204.0,3370.0,166.0,False,3,0,1
2008,Cedar Park,2.0,1054.0,963.0,-91.0,True,0,0,1
2008,East Austin,17.0,793.0,717.0,-76.0,True,0,0,1
2017,Pflugerville/Wells Branch,13.0,1412.0,1373.0,-39.0,True,3,0,1
2014,Far West Austin,2.0,1382.0,1230.0,-152.0,True,3,0,1
2018,Cedar Park,0.0,1534.0,1416.0,-118.0,True,3,0,1
2016,Downtown/University,1.0,3388.0,3106.0,-282.0,True,3,0,1
2016,Southeast Austin,0.0,1456.0,1344.0,-112.0,True,0,0,1
2019,Cedar Park,0.0,1855.0,1722.0,-133.0,True,2,-1,1
2016,South Austin,4.0,2788.0,2554.0,-234.0,True,2,-1,1
2010,Round Rock/Georgetown,,973.0,,,False,0,0,1
2008,Far West Austin,0.0,1551.0,1345.0,-206.0,True,2,-1,1
2009,Round Rock/Georgetown,0.0,1084.0,877.0,-207.0,True,3,0,1
2014,Riverside,1.0,1945.0,1795.0,-150.0,True,1,0,0
2008,Pflugerville/Wells Branch,0.0,1036.0,895.0,-141.0,True,3,0,1
2017,Round Rock/Georgetown,0.0,1442.0,1322.0,-120.0,True,2,-1,1
2008,Far South Austin,1.0,1154.0,962.0,-192.0,True,2,-1,1
2008,Downtown/University,0.0,2108.0,1989.0,-119.0,True,1,0,0
2014,Cedar Park,13.0,1257.0,1126.0,-131.0,True,2,-1,1
2010,Southwest Austin,3.0,1025.0,852.0,-173.0,True,3,0,1
2020,Round Rock/Georgetown,0.0,1391.0,1292.0,-99.0,True,2,-1,1
2016,Southwest Austin,4.0,1582.0,1380.0,-202.0,True,2,-1,1
2018,Round Rock/Georgetown,3.0,1553.0,1407.0,-146.0,True,2,-1,1
2015,Far West Austin,0.0,1529.0,1402.0,-127.0,True,2,-1,1
2009,South Austin,0.0,2154.0,1693.0,-461.0,True,1,0,0
2017,Riverside,0.0,1436.0,1316.0,-120.0,True,1,0,0
2019,Cedar Park,0.0,1289.0,1075.0,-214.0,True,3,1,1
2008,Southeast Austin,,670.0,,,False,3,5,0
2008,East Austin,1.0,1130.0,942.0,-188.0,True,0,0,1
2009,Downtown/University,0.0,2354.0,1932.0,-422.0,True,1,0,0
2008,Southwest Austin,3.0,1695.0,1535.0,-160.0,True,1,0,0
2015,Cedar Park,21.0,1526.0,1316.0,-210.0,True,3,0,1
2020,Riverside,0.0,2920.0,2555.0,-365.0,True,1,0,0
2019,Cedar Park,0.0,1624.0,1426.0,-198.0,True,1,-1,0
2008,Downtown/University,2.0,2870.0,2754.0,-116.0,True,3,0,1
2009,Downtown/University,7.0,2959.0,2799.0,-160.0,True,0,0,1
2016,Downtown/University,5.0,3158.0,3046.0,-112.0,True,1,0,0
2020,Round Rock/Georgetown,0.0,1770.0,1475.0,-295.0,True,2,-1,1
2018,East Austin,0.0,1507.0,1319.0,-188.0,True,1,0,0
2020,Riverside,,1207.0,,,False,1,0,0
2008,South Austin,5.0,1412.0,1281.0,-131.0,True,1,0,0
